INFORME RESULTADO BÚSQUEDA/"6/8/26 14:06"///////////////
CAMPOS BÚSQUEDA/Provincia: Granada///////////////
Nombre/Empresa/Organismo/Sit. General/Tipo/Frac/Nº Registro/Sustancia principal/Sustancia secundaria/Superf./Uds./Sec./Solicitud/"Otorgamiento/ Autorizacion"/Caducidad/Fin Vigencia/Coordenadas
PEPI FRACCIÓN 1 /OMYA CLARIANA, S.A. (ANTES CLARIANACAL, S.A.)/GRANADA/Otorgado/Concesión Directa de Explotación/01/30214/Calizas//33.0/C/C/"08/11/1989"/"28/01/1992"///(3º 22' 4.57'' W, 37º 20' 55.50'' N)(3º 22' 4.57'' W, 37º 21' 55.50'' N)(3º 20' 4.57'' W, 37º 21' 55.50'' N)(3º 20' 4.57'' W, 37º 22' 15.50'' N)(3º 19' 4.57'' W, 37º 22' 15.50'' N)(3º 19' 4.57'' W, 37º 22' 35.50'' N)(3º 18' 4.56'' W, 37º 22' 35.50'' N)(3º 18' 4.56'' W, 37º 21' 35.50'' N)(3º 19' 4.57'' W, 37º 21' 35.50'' N)(3º 19' 4.57'' W, 37º 21' 15.50'' N)(3º 21' 4.57'' W, 37º 21' 15.50'' N)(3º 21' 4.57'' W, 
PAMIAN/YESOS PAMIAN, S.L./GRANADA/Otorgado/Concesión Directa de Explotación/00/30251/Yeso//9.0/C/C/"09/04/1991"/"29/09/1993"///(4º 17' 4.68'' W, 37º 6' 35.46'' N)(4º 16' 44.68'' W, 37º 6' 35.46'' N)(4º 16' 44.68'' W, 37º 5' 55.46'' N)(4º 17' 4.68'' W, 37º 5' 55.46'' N)(4º 17' 4.68'' W, 37º 6' 35.46'' N)
ATALAYA I - AMPLIACIÓN NORTE/HORMIGONES ALMANZORA, S.A./GRANADA/Autorizado/Recurso de la sección A)/00/  232/Dolomía//3.25/H/A/"12/04/2002"/"09/09/2004"///(2º 48' 47.09'' W, 37º 28' 23.47'' N)(2º 48' 48.14'' W, 37º 28' 29.31'' N)(2º 48' 40.82'' W, 37º 28' 34.20'' N)(2º 48' 41.53'' W, 37º 28' 27.24'' N)(2º 48' 47.09'' W, 37º 28' 23.47'' N)
LOS CAÑADAS/EXCAVACIONES LOS CAÑADAS S.A./GRANADA/Autorizado/Recurso de la sección A)/00/   26/Calizas//6.0/H/A/"03/11/1989"/"08/11/1990"///(4º 13' 19.77'' W, 37º 1' 59.23'' N)(4º 13' 19.65'' W, 37º 1' 51.29'' N)(4º 13' 29.56'' W, 37º 1' 51.18'' N)(4º 13' 29.69'' W, 37º 1' 59.13'' N)(4º 13' 19.77'' W, 37º 1' 59.23'' N)
JULIO/JULIO BAZA, S.A./GRANADA/Autorizado/Recurso de la sección A)/00/   52/Dolomía//4.0/H/A/"23/04/1991"/"23/12/1993"///(2º 48' 39.55'' W, 37º 28' 23.27'' N)(2º 48' 37.25'' W, 37º 28' 20.85'' N)(2º 48' 36.68'' W, 37º 28' 19.18'' N)(2º 48' 36.46'' W, 37º 28' 18.21'' N)(2º 48' 36.33'' W, 37º 28' 17.17'' N)(2º 48' 34.98'' W, 37º 28' 15.20'' N)(2º 48' 35.20'' W, 37º 28' 13.47'' N)(2º 48' 39.02'' W, 37º 28' 9.98'' N)(2º 48' 39.35'' W, 37º 28' 11.12'' N)(2º 48' 41.36'' W, 37º 28' 18.01'' N)(2º 48' 41.78'' W, 37º 28' 19.74'' N)(2º 48' 
PESCA/TINO EMPRESARIAL E INDUSTRIAL, S.L.U./GRANADA/Autorizado/Recurso de la sección A)/00/   95///2.0/H/A/"13/04/1994"/"20/02/1995"///(4º 5' 54.66'' W, 37º 5' 23.22'' N)(4º 5' 51.83'' W, 37º 5' 25.54'' N)(4º 5' 51.76'' W, 37º 5' 20.95'' N)(4º 5' 57.49'' W, 37º 5' 20.90'' N)(4º 5' 57.55'' W, 37º 5' 25.49'' N)(4º 5' 51.83'' W, 37º 5' 25.54'' N)
SAN FRANCISCO/ÁRIDOS Y TRANSPORTES CARVAJAL, S.L./GRANADA/Autorizado/Recurso de la sección A)/00/    2/Calizas, Dolomía//2.0/H/A/"31/05/1988"/"04/08/1988"///(3º 11' 55.85'' W, 36º 57' 2.41'' N)(3º 11' 57.59'' W, 36º 57' 7.22'' N)(3º 12' 1.44'' W, 36º 57' 8.22'' N)(3º 11' 58.95'' W, 36º 57' 14.39'' N)(3º 11' 55.10'' W, 36º 57' 13.39'' N)(3º 11' 55.85'' W, 36º 57' 2.41'' N)
LAS PALOMAS/CEMENTOS DEL MARQUESADO, S.A./GRANADA/Autorizado/Recurso de la sección A)/00/  194/Arena, Grava//3.1/H/A/"02/05/1997"/"28/05/1998"///(2º 59' 33.30'' W, 37º 19' 49.20'' N)(2º 59' 34.65'' W, 37º 19' 52.52'' N)(2º 59' 40.61'' W, 37º 19' 52.92'' N)(2º 59' 43.03'' W, 37º 19' 51.60'' N)(2º 59' 42.00'' W, 37º 19' 47.93'' N)(2º 59' 35.47'' W, 37º 19' 47.65'' N)(2º 59' 33.30'' W, 37º 19' 49.20'' N)
ALMANZORA/HORMIGONES ALMANZORA, S.A./GRANADA/Autorizado/Recurso de la sección A)/00/  249/Dolomía//8.92/H/A/"18/07/2003"/"23/03/2006"///(2º 48' 37.45'' W, 37º 28' 4.62'' N)(2º 48' 38.16'' W, 37º 28' 4.49'' N)(2º 48' 39.12'' W, 37º 28' 3.91'' N)(2º 48' 39.45'' W, 37º 28' 3.69'' N)(2º 48' 40.25'' W, 37º 28' 2.82'' N)(2º 48' 41.47'' W, 37º 28' 2.00'' N)(2º 48' 42.28'' W, 37º 28' 1.84'' N)(2º 48' 43.81'' W, 37º 28' 2.59'' N)(2º 48' 44.11'' W, 37º 28' 5.70'' N)(2º 48' 44.14'' W, 37º 28' 6.67'' N)(2º 48' 44.46'' W, 37º 28' 9.34'' N)(2º 48' 44.63'' W, 
ATALAYA I/HORMIGONES ALMANZORA, S.A./GRANADA/Autorizado/Recurso de la sección A)/00/  144/Dolomía//11.0/H/A//"21/02/1978"///(2º 48' 34.73'' W, 37º 28' 48.35'' N)(2º 48' 34.76'' W, 37º 28' 37.59'' N)(2º 48' 48.26'' W, 37º 28' 37.61'' N)(2º 48' 48.23'' W, 37º 28' 48.37'' N)(2º 48' 34.73'' W, 37º 28' 48.35'' N)
CASA BAJA/CONSTRUCCIONES ARIDEXA, S.L./GRANADA/Autorizado/Recurso de la sección A)/00/  186/Dolomía//11.2/H/A/"03/12/1996"/"23/07/1998"///(3º 57' 11.33'' W, 36º 57' 5.05'' N)(3º 57' 12.38'' W, 36º 57' 5.79'' N)(3º 57' 14.47'' W, 36º 57' 6.69'' N)(3º 57' 16.61'' W, 36º 57' 7.41'' N)(3º 57' 21.47'' W, 36º 57' 5.38'' N)(3º 57' 22.51'' W, 36º 57' 4.54'' N)(3º 57' 23.66'' W, 36º 57' 3.20'' N)(3º 57' 23.92'' W, 36º 57' 2.05'' N)(3º 57' 21.02'' W, 36º 57' 0.21'' N)(3º 57' 15.76'' W, 36º 57' 1.03'' N)(3º 57' 12.68'' W, 36º 56' 59.93'' N)(3º 57' 8.86'' W, 
EL CASTILLO/PIZASUR S.L./GRANADA/Autorizado/Recurso de la sección A)/00/   11/Pizarra//3.0/H/A/"12/01/1989"/"05/12/1994"///(3º 7' 32.15'' W, 37º 9' 56.59'' N)(3º 7' 40.95'' W, 37º 9' 57.61'' N)(3º 7' 36.10'' W, 37º 10' 1.01'' N)(3º 7' 29.06'' W, 37º 10' 1.11'' N)(3º 7' 28.02'' W, 37º 9' 58.40'' N)(3º 7' 32.15'' W, 37º 9' 56.59'' N)
