FLORIDABLANCA I/LA BAJAMAR DE URBASUR, S.L./HUELVA/"Trámite/otorgamiento"/Permiso de Investigación/00/14867/Todos de sección C)//242.0/C/C/"23/01/2007"////(7º 5' 24.90'' W, 37º 21' 55.47'' N)(7º 5' 24.90'' W, 37º 25' 55.48'' N)(7º 9' 44.90'' W, 37º 25' 55.48'' N)(7º 9' 44.90'' W, 37º 25' 35.48'' N)(7º 10' 4.90'' W, 37º 25' 35.48'' N)(7º 10' 4.90'' W, 37º 24' 55.48'' N)(7º 11' 4.90'' W, 37º 24' 55.48'' N)(7º 11' 4.90'' W, 37º 23' 55.48'' N)(7º 13' 44.90'' W, 37º 23' 55.48'' N)(7º 13' 44.90'' W, 37º 21' 55.47'' N)(7º 5' 24.90'' W, 37º 21' 55.47'' N)
CICERÓN/MINAS DE AGUAS TEÑIDAS, S.A.U./HUELVA/Otorgado/Permiso de Investigación/00/14865/Cobre, Oro, Plata, Plomo, Zinc//58.0/C/C/"14/06/2006"/"13/05/2009"///(6º 56' 24.88'' W, 37º 47' 55.50'' N)(6º 56' 24.88'' W, 37º 47' 35.51'' N)(6º 56' 4.88'' W, 37º 47' 35.51'' N)(6º 56' 4.88'' W, 37º 47' 15.50'' N)(6º 55' 44.87'' W, 37º 47' 15.50'' N)(6º 55' 44.88'' W, 37º 46' 35.50'' N)(6º 55' 24.88'' W, 37º 46' 35.51'' N)(6º 55' 24.88'' W, 37º 47' 15.51'' N)(6º 54' 24.88'' W, 37º 47' 15.48'' N)(6º 54' 24.88'' W, 37º 47' 35.50'' N)(6º 53' 44.88'' W, 37º 47' 35.50'' N)(6º 53' 
CARTAYA/ÁRIDOS NORMALIZADOS DE AYAMONTE S.A. (ANASA)/HUELVA/"Trámite/otorgamiento"/Permiso de Investigación/00/14856/Todos de sección C)//300.0/C/C/"31/05/2005"////(7º 9' 4.91'' W, 37º 11' 55.46'' N)(7º 9' 4.91'' W, 37º 15' 55.46'' N)(7º 8' 44.91'' W, 37º 15' 55.46'' N)(7º 8' 44.91'' W, 37º 17' 55.46'' N)(7º 3' 24.90'' W, 37º 17' 55.46'' N)(7º 3' 24.90'' W, 37º 11' 55.46'' N)(7º 9' 4.91'' W, 37º 11' 55.46'' N)
LEPE/ÁRIDOS NORMALIZADOS DE AYAMONTE S.A. (ANASA)/HUELVA/"Trámite/otorgamiento"/Permiso de Investigación/00/14857/Todos de sección C)//300.0/C/C/"31/05/2005"////(7º 16' 4.92'' W, 37º 11' 55.46'' N)(7º 16' 4.91'' W, 37º 15' 55.46'' N)(7º 11' 24.91'' W, 37º 15' 55.46'' N)(7º 11' 24.91'' W, 37º 17' 55.47'' N)(7º 8' 44.91'' W, 37º 17' 55.46'' N)(7º 8' 44.91'' W, 37º 15' 55.46'' N)(7º 9' 4.91'' W, 37º 15' 55.46'' N)(7º 9' 4.91'' W, 37º 11' 55.46'' N)(7º 16' 4.92'' W, 37º 11' 55.46'' N)
CORUMBEL II/QUERCUS EXPLORATIONS AND MINING, S.A./HUELVA/Caducado/Permiso de Investigación/00/14870/Todos de sección C)//207.0/C/C/"11/05/2007"/"03/02/2012"/"29/09/2017"//(6º 31' 24.86'' W, 37º 30' 15.47'' N)(6º 25' 44.85'' W, 37º 30' 15.47'' N)(6º 25' 44.85'' W, 37º 29' 15.47'' N)(6º 27' 4.85'' W, 37º 29' 15.47'' N)(6º 27' 4.85'' W, 37º 28' 35.47'' N)(6º 27' 44.86'' W, 37º 28' 35.47'' N)(6º 27' 44.86'' W, 37º 27' 55.47'' N)(6º 27' 4.85'' W, 37º 27' 55.47'' N)(6º 27' 4.85'' W, 37º 27' 35.47'' N)(6º 25' 44.85'' W, 37º 27' 35.47'' N)(6º 25' 44.85'' W, 37º 28' 35.47'' N)(6º 25' 4.85'' 
LAS COLMENITAS/EXPLORACIONES MINERAS DEL ANDÉVALO, S.L./HUELVA/Caducado/Permiso de Investigación/00/14860/Todos de sección C)//115.0/C/C/"01/06/2005"/"17/07/2006"/"13/02/2015"//(6º 42' 4.87'' W, 37º 37' 15.48'' N)(6º 37' 4.86'' W, 37º 37' 15.48'' N)(6º 37' 4.87'' W, 37º 34' 55.48'' N)(6º 42' 44.87'' W, 37º 34' 55.48'' N)(6º 42' 44.87'' W, 37º 36' 35.48'' N)(6º 42' 4.87'' W, 37º 36' 35.48'' N)(6º 42' 4.87'' W, 37º 37' 15.48'' N)
ANIMAS/JUANA GARCÍA MARTÍN, SEBASTIÁN CONTRERAS MARTÍN/HUELVA/Autorizado/Recurso de la sección A)/00/  121/Arena//1.35/H/A/"15/03/1996"/"19/01/1998"///(6º 37' 36.77'' W, 37º 18' 46.93'' N)(6º 37' 36.83'' W, 37º 18' 46.37'' N)(6º 37' 37.05'' W, 37º 18' 46.70'' N)(6º 37' 37.39'' W, 37º 18' 47.05'' N)(6º 37' 37.66'' W, 37º 18' 47.39'' N)(6º 37' 37.95'' W, 37º 18' 47.74'' N)(6º 37' 38.67'' W, 37º 18' 48.38'' N)(6º 37' 39.01'' W, 37º 18' 48.71'' N)(6º 37' 39.25'' W, 37º 18' 48.94'' N)(6º 37' 39.50'' W, 37º 18' 49.19'' N)(6º 37' 39.53'' W, 37º 18' 49.22'' N)
TARIQUEJOS-LOTES 3,4 Y 5/AYUNTAMIENTO DE CARTAYA/HUELVA/Autorizado/Recurso de la sección A)/03/   79/Grauvaca//37.0/H/A/"22/12/1992"/"10/04/1995"///(7º 11' 3.10'' W, 37º 22' 29.83'' N)(7º 11' 3.57'' W, 37º 22' 10.10'' N)(7º 11' 28.29'' W, 37º 22' 10.48'' N)(7º 11' 27.82'' W, 37º 22' 30.21'' N)(7º 11' 3.10'' W, 37º 22' 29.83'' N)(7º 8' 39.79'' W, 37º 22' 29.82'' N)(7º 8' 40.28'' W, 37º 22' 10.10'' N)(7º 9' 5.00'' W, 37º 22' 10.48'' N)(7º 9' 4.51'' W, 37º 22' 30.21'' N)(7º 8' 39.79'' W, 37º 22' 29.82'' N)(7º 8' 47.79'' W, 37º 22' 29.82'' N)(7º 8' 48.28'' W, 37º 
ANA/GESTIÓN Y PROMOCIÓN DE RECURSOS, S.A. (GESPRON)/HUELVA/Caducado/Concesión Directa de Explotación/00/14575/Diabasa, Gabro//6.0/C/C/"07/02/1990"/"31/03/1992"/"25/09/2014"//(7º 1' 4.88'' W, 37º 43' 35.50'' N)(7º 0' 4.88'' W, 37º 43' 35.50'' N)(7º 0' 4.88'' W, 37º 42' 55.50'' N)(7º 1' 4.88'' W, 37º 42' 55.50'' N)(7º 1' 4.88'' W, 37º 43' 35.50'' N)
AROCHE 1ª FRACCIÓN/EXPLOTACIONES AROCHE, S.A./HUELVA/Otorgado/Concesión de Explotación  Derivada/01/14403/Mármol//5.0/C/C/"20/04/1989"/"23/01/1991"///(6º 56' 44.87'' W, 37º 55' 35.50'' N)(6º 56' 44.87'' W, 37º 55' 20.25'' N)(6º 56' 35.64'' W, 37º 55' 20.25'' N)(6º 56' 35.63'' W, 37º 55' 15.50'' N)(6º 56' 24.87'' W, 37º 55' 15.50'' N)(6º 56' 24.87'' W, 37º 56' 15.50'' N)(6º 57' 4.87'' W, 37º 56' 15.50'' N)(6º 57' 4.87'' W, 37º 55' 35.50'' N)(6º 56' 44.87'' W, 37º 55' 35.50'' N)
ZORRERA/EXTRACCIONES TOMIÑO, S.L./HUELVA/Otorgado/Permiso de Investigación/00/14583/Todos de sección C)//2.0/C/C/"04/06/1990"/"23/09/1992"///(6º 13' 24.84'' W, 37º 54' 55.50'' N)(6º 12' 44.84'' W, 37º 54' 55.50'' N)(6º 12' 44.84'' W, 37º 54' 35.50'' N)(6º 13' 24.84'' W, 37º 54' 35.50'' N)(6º 13' 24.84'' W, 37º 54' 55.50'' N)
AGUAS TEÑIDAS/MINAS DE AGUAS TEÑIDAS, S.A.U./HUELVA/Otorgado/Concesión Directa de Explotación/00/ 4939/Cobre, Oro, Plata, Zinc//27.0/H/C/"28/10/1882"/"12/04/1883"//"01/09/2012"/(6º 52' 0.08'' W, 37º 46' 37.25'' N)(6º 51' 59.42'' W, 37º 46' 46.97'' N)(6º 51' 10.45'' W, 37º 46' 44.88'' N)(6º 51' 10.67'' W, 37º 46' 41.64'' N)(6º 51' 47.81'' W, 37º 46' 43.23'' N)(6º 51' 48.03'' W, 37º 46' 39.99'' N)(6º 51' 14.98'' W, 37º 46' 38.57'' N)(6º 51' 15.20'' W, 37º 46' 35.33'' N)(6º 52' 0.08'' W, 37º 46' 37.25'' N)
2ª SAN BARTOLOMÉ/SOCIEDAD ANÓNIMA MINERA LA HISPALENSE/HUELVA/Caducado/Concesión Directa de Explotación/00/11400/Hierro//12.0/H/C/"29/04/1914"/"29/03/1915"/"19/05/2014"//(6º 46' 38.75'' W, 37º 46' 46.26'' N)(6º 46' 46.45'' W, 37º 46' 44.07'' N)(6º 46' 43.73'' W, 37º 46' 37.95'' N)(6º 46' 20.60'' W, 37º 46' 44.46'' N)(6º 46' 23.33'' W, 37º 46' 50.58'' N)(6º 46' 38.75'' W, 37º 46' 46.26'' N)
CONCEPCIÓN/MINAS DE AGUAS TEÑIDAS, S.A.U./HUELVA/Otorgado/Concesión Directa de Explotación/00/10151/Cobre, Hierro, Plomo, Zinc//16.0/H/C/"29/11/1906"/"01/06/1908"//"17/12/2042"/(6º 48' 38.26'' W, 37º 46' 47.01'' N)(6º 48' 53.54'' W, 37º 46' 51.64'' N)(6º 48' 59.37'' W, 37º 46' 39.52'' N)(6º 48' 44.10'' W, 37º 46' 34.89'' N)(6º 48' 38.26'' W, 37º 46' 47.01'' N)
LA BOMBILLA/MINAS DE AGUAS TEÑIDAS, S.A.U./HUELVA/Otorgado/Concesión Directa de Explotación/00/11768/Cobre, Hierro, Plomo, Zinc//40.0/H/C/"21/12/1916"/"09/06/1917"//"17/12/2042"/(6º 48' 27.71'' W, 37º 46' 26.57'' N)(6º 48' 35.75'' W, 37º 46' 27.76'' N)(6º 48' 34.99'' W, 37º 46' 30.96'' N)(6º 48' 51.07'' W, 37º 46' 33.33'' N)(6º 48' 50.32'' W, 37º 46' 36.53'' N)(6º 49' 10.41'' W, 37º 46' 39.53'' N)(6º 49' 13.41'' W, 37º 46' 26.77'' N)(6º 48' 53.32'' W, 37º 46' 23.77'' N)(6º 48' 52.57'' W, 37º 46' 26.97'' N)(6º 48' 28.46'' W, 37º 46' 23.40'' N)(6º 48' 29.21'' W, 37º 46' 20.21'' N)
BELLA HOLANDESA/MINAS DE AGUAS TEÑIDAS, S.A.U./HUELVA/Otorgado/Concesión Directa de Explotación/00/ 4367/Cobre//4.0/H/C/"29/04/1880"/"13/11/1880"//"17/12/2042"/(6º 51' 48.03'' W, 37º 46' 39.99'' N)(6º 51' 47.81'' W, 37º 46' 43.23'' N)(6º 51' 26.93'' W, 37º 46' 42.31'' N)(6º 51' 27.15'' W, 37º 46' 39.09'' N)(6º 51' 48.03'' W, 37º 46' 39.99'' N)
CONSUELO/MANGANESOS DE SOLOVIEJO, S.A./HUELVA/Otorgado/Concesión Directa de Explotación/00/12781/Manganeso//41.0/H/C/"19/04/1928"/"12/11/1928"///(6º 41' 33.16'' W, 37º 45' 2.18'' N)(6º 42' 15.91'' W, 37º 45' 13.21'' N)(6º 42' 14.65'' W, 37º 45' 16.30'' N)(6º 43' 1.30'' W, 37º 45' 28.33'' N)(6º 43' 2.56'' W, 37º 45' 25.24'' N)(6º 43' 25.82'' W, 37º 45' 31.22'' N)(6º 43' 27.07'' W, 37º 45' 28.16'' N)(6º 41' 34.43'' W, 37º 44' 59.10'' N)(6º 41' 33.16'' W, 37º 45' 2.18'' N)
LA CALAÑESA/MINAS DE AGUAS TEÑIDAS, S.A.U./HUELVA/Otorgado/Concesión Directa de Explotación/00/ 2357/Cobre//4.0/H/C/"17/02/1870"/"21/12/1871"//"17/12/2042"/(6º 51' 27.15'' W, 37º 46' 39.07'' N)(6º 51' 26.94'' W, 37º 46' 42.31'' N)(6º 51' 10.67'' W, 37º 46' 41.64'' N)(6º 51' 10.84'' W, 37º 46' 38.38'' N)(6º 51' 27.15'' W, 37º 46' 39.07'' N)
CONCHA/MINAS DE AGUAS TEÑIDAS, S.A.U./HUELVA/Otorgado/Concesión Directa de Explotación/00/ 9008/Cobre, Hierro, Plomo, Zinc//33.0/H/C/"24/12/1900"/"19/06/1902"//"17/12/2042"/(6º 49' 7.38'' W, 37º 47' 26.51'' N)(6º 49' 3.00'' W, 37º 47' 35.61'' N)(6º 48' 20.99'' W, 37º 47' 22.86'' N)(6º 48' 25.37'' W, 37º 47' 13.76'' N)(6º 49' 7.38'' W, 37º 47' 26.51'' N)
2ª SAN FERNANDO/MINAS DE AGUAS TEÑIDAS, S.A.U./HUELVA/Otorgado/Concesión Directa de Explotación/00/ 5217/Cobre, Oro, Plata, Zinc//4.0/H/C/"12/09/1883"/"03/04/1884"//"01/09/2012"/(6º 50' 11.14'' W, 37º 46' 4.51'' N)(6º 50' 9.05'' W, 37º 46' 17.38'' N)(6º 50' 5.00'' W, 37º 46' 16.95'' N)(6º 50' 7.09'' W, 37º 46' 4.08'' N)(6º 50' 11.14'' W, 37º 46' 4.51'' N)
EL PORTACHUELO/GESTIÓN DE ÁRIDOS DEL SUR, S.L. (GEASUR)/HUELVA/Autorizado/Recurso de la sección A)/00/  122/Arena//28.0/H/A/"22/05/1997"/"06/02/1998"///(6º 44' 28.10'' W, 37º 19' 3.45'' N)(6º 44' 27.11'' W, 37º 19' 2.03'' N)(6º 44' 26.12'' W, 37º 19' 0.62'' N)(6º 44' 25.13'' W, 37º 18' 59.20'' N)(6º 44' 24.38'' W, 37º 18' 58.13'' N)(6º 44' 22.18'' W, 37º 18' 59.14'' N)(6º 44' 20.42'' W, 37º 18' 59.94'' N)(6º 44' 18.66'' W, 37º 19' 0.75'' N)(6º 44' 17.01'' W, 37º 19' 1.70'' N)(6º 44' 16.99'' W, 37º 19' 2.68'' N)(6º 44' 13.72'' W, 37º 19' 3.59'' N)(6º 44' 12.03'' W, 
SIERRA CABELLO/AGRÍCOLA Y FORESTAL SIERRA CABELLO, S.A./HUELVA/Autorizado/Recurso de la sección A)/00/  137/Grava//150.0/H/A/"03/04/1998"/"27/01/1999"///(7º 7' 15.25'' W, 37º 25' 35.47'' N)(7º 7' 1.89'' W, 37º 25' 23.25'' N)(7º 7' 4.78'' W, 37º 25' 20.40'' N)(7º 7' 6.46'' W, 37º 25' 18.26'' N)(7º 7' 30.31'' W, 37º 25' 18.05'' N)(7º 7' 31.95'' W, 37º 25' 19.09'' N)(7º 7' 31.98'' W, 37º 25' 21.00'' N)(7º 7' 27.95'' W, 37º 25' 25.36'' N)(7º 7' 26.91'' W, 37º 25' 24.94'' N)(7º 7' 25.54'' W, 37º 25' 27.36'' N)(7º 7' 15.25'' W, 37º 25' 35.47'' N)
CUMBRES MAYORES/PIGOMA, S.A., EL BOLLO, TRANSPORTES Y EXCAVACIONES, S.L./HUELVA/Autorizado/Recurso de la sección A)/00/  135/Zahorra//8.21/H/A/"09/10/1997"/"16/09/1998"///(6º 51' 25.65'' W, 37º 12' 4.59'' N)(6º 51' 27.22'' W, 37º 12' 4.41'' N)(6º 51' 27.51'' W, 37º 12' 5.17'' N)(6º 51' 27.46'' W, 37º 12' 5.82'' N)(6º 51' 28.51'' W, 37º 12' 7.35'' N)(6º 51' 30.19'' W, 37º 12' 6.12'' N)(6º 51' 31.09'' W, 37º 12' 7.04'' N)(6º 51' 32.86'' W, 37º 12' 6.01'' N)(6º 51' 33.16'' W, 37º 12' 6.32'' N)(6º 51' 34.16'' W, 37º 12' 6.94'' N)(6º 51' 34.48'' W, 37º 12' 7.64'' N)(6º 51' 33.78'' W, 
MALVASÍA/MANUFRAN S.L./HUELVA/Autorizado/Recurso de la sección A)/00/  134/Arena//10.0/H/A/"02/12/1997"/"30/09/1998"///(6º 28' 46.77'' W, 37º 13' 59.37'' N)(6º 28' 43.24'' W, 37º 13' 58.57'' N)(6º 28' 42.82'' W, 37º 13' 58.55'' N)(6º 28' 42.05'' W, 37º 13' 58.63'' N)(6º 28' 38.25'' W, 37º 13' 57.64'' N)(6º 28' 38.77'' W, 37º 13' 56.40'' N)(6º 28' 38.77'' W, 37º 13' 55.96'' N)(6º 28' 39.70'' W, 37º 13' 53.77'' N)(6º 28' 39.61'' W, 37º 13' 53.40'' N)(6º 28' 38.16'' W, 37º 13' 52.92'' N)(6º 28' 36.92'' W, 37º 13' 52.50'' N)
LA MONAGUERA-LA MONAGUERA II-LA REMONTA/RIO NARCEA RECURSOS, S.A./D.G.P.E. MINAS/Declarada/Reserva Provisional/0 /  272/Bismuto, Cobalto, Cromo, Estaño, Fosfatos, Molibdeno, Níquel, Plomo, Wolframio//2101.0/C/C/"12/06/1986"///"04/04/2010"/(6º 37' 44.86'' W, 38º 11' 55.51'' N)(6º 34' 4.86'' W, 38º 11' 55.51'' N)(6º 34' 4.86'' W, 38º 9' 55.51'' N)(6º 32' 4.86'' W, 38º 9' 55.51'' N)(6º 32' 4.86'' W, 38º 8' 55.51'' N)(6º 31' 24.86'' W, 38º 8' 55.51'' N)(6º 31' 24.86'' W, 38º 7' 35.51'' N)(6º 30' 24.85'' W, 38º 7' 35.51'' N)(6º 30' 24.85'' W, 38º 6' 55.51'' N)(6º 26' 4.85'' W, 38º 6' 55.51'' N)(6º 26' 4.85'' W, 38º 8' 55.51'' N)(6º 21' 24.85'' W, 38º 8' 
DEMASÍA A 2ª SAN FERNANDO /MINAS DE AGUAS TEÑIDAS, S.A.U./HUELVA/Otorgado/Concesión Directa de Explotación/00/10848/Cobre, Oro, Plata, Zinc//1.1/H/C/"17/07/1909"/"06/06/1911"//"01/09/2012"/(6º 50' 12.25'' W, 37º 46' 4.63'' N)(6º 50' 10.17'' W, 37º 46' 17.50'' N)(6º 50' 9.05'' W, 37º 46' 17.38'' N)(6º 50' 11.14'' W, 37º 46' 4.51'' N)(6º 50' 12.25'' W, 37º 46' 4.63'' N)
LA GRAJEA/ROBERTO ALETTA OBRAS Y SERVICIOS DE LA CONSTRUCCIÓ/HUELVA/Autorizado/Recurso de la sección A)/00/  148/Zahorra//3.0/H/A/"19/11/1998"/"20/09/1999"///(7º 9' 29.02'' W, 37º 15' 9.33'' N)(7º 9' 29.17'' W, 37º 15' 9.81'' N)(7º 9' 29.57'' W, 37º 15' 10.42'' N)(7º 9' 29.99'' W, 37º 15' 10.76'' N)(7º 9' 30.05'' W, 37º 15' 11.18'' N)(7º 9' 29.85'' W, 37º 15' 11.15'' N)(7º 9' 29.87'' W, 37º 15' 11.54'' N)(7º 9' 26.24'' W, 37º 15' 11.93'' N)(7º 9' 24.37'' W, 37º 15' 11.73'' N)(7º 9' 22.94'' W, 37º 15' 11.72'' N)(7º 9' 21.82'' W, 37º 15' 11.99'' N)(7º 9' 19.16'' W, 37º 
CALDERÓN/MANUEL BOGADO OLIVARES/HUELVA/Autorizado/Recurso de la sección A)/00/  141/Grava, Zahorra//23.66/H/A/"17/07/1992"/"26/04/1999"///(6º 50' 37.36'' W, 37º 13' 55.44'' N)(6º 50' 37.02'' W, 37º 13' 56.37'' N)(6º 50' 36.86'' W, 37º 13' 57.01'' N)(6º 50' 36.86'' W, 37º 13' 57.31'' N)(6º 50' 36.33'' W, 37º 13' 58.91'' N)(6º 50' 35.75'' W, 37º 14' 0.35'' N)(6º 50' 35.35'' W, 37º 14' 0.71'' N)(6º 50' 33.92'' W, 37º 14' 1.73'' N)(6º 50' 32.79'' W, 37º 14' 2.68'' N)(6º 50' 32.62'' W, 37º 14' 2.97'' N)(6º 50' 32.57'' W, 37º 14' 3.19'' N)(6º 50' 
PRADO/ÁRIDOS Y TRANSPORTES TINTOSUR, S.L., PRADO Y CALDERÓN, C.B., ÁRIDOS DE LA LUZ, S.L./HUELVA/Autorizado/Recurso de la sección A)/00/  142/Grava, Zahorra//30.0/H/A/"17/07/1992"/"26/04/1999"///(6º 48' 53.14'' W, 37º 13' 5.31'' N)(6º 48' 51.86'' W, 37º 13' 4.70'' N)(6º 48' 47.65'' W, 37º 13' 3.38'' N)(6º 48' 45.48'' W, 37º 13' 2.87'' N)(6º 48' 44.55'' W, 37º 13' 2.90'' N)(6º 48' 43.84'' W, 37º 13' 3.37'' N)(6º 48' 42.06'' W, 37º 13' 5.12'' N)(6º 48' 42.05'' W, 37º 13' 8.00'' N)(6º 48' 45.02'' W, 37º 13' 7.42'' N)(6º 48' 42.95'' W, 37º 13' 10.63'' N)(6º 48' 39.58'' W, 37º 13' 11.39'' N)(6º 48' 40.40'' W, 
SOMERA/ÁRIDOS VALLE MONTE, S.L./HUELVA/Autorizado/Recurso de la sección A)/00/   36/Arena, Grava//6.0/H/A/"14/06/1990"/"24/06/1991"///(7º 21' 23.00'' W, 37º 13' 39.42'' N)(7º 21' 22.85'' W, 37º 13' 39.41'' N)(7º 21' 22.88'' W, 37º 13' 39.12'' N)(7º 21' 23.03'' W, 37º 13' 39.13'' N)(7º 21' 23.21'' W, 37º 13' 39.14'' N)(7º 21' 23.18'' W, 37º 13' 39.43'' N)(7º 21' 23.00'' W, 37º 13' 39.42'' N)(7º 21' 23.83'' W, 37º 13' 36.83'' N)(7º 21' 22.49'' W, 37º 13' 36.79'' N)(7º 21' 20.98'' W, 37º 13' 36.83'' N)(7º 21' 20.52'' W, 37º 13' 36.80'' N)
