INFORME RESULTADO BÚSQUEDA/"6/8/26 14:06"///////////////
CAMPOS BÚSQUEDA/Provincia: Sevilla///////////////
Nombre/Empresa/Organismo/Sit. General/Tipo/Frac/Nº Registro/Sustancia principal/Sustancia secundaria/Superf./Uds./Sec./Solicitud/"Otorgamiento/ Autorizacion"/Caducidad/Fin Vigencia/Coordenadas
GUADALCANAL II/TRABAJOS DE MINERÍA A CIELO ABIERTO, S.A./SEVILLA/Caducado/Permiso de Investigación/00/ 7327/Carbón//252.0/C/D//"10/01/1984"/"03/01/2005"//(5º 50' 4.81'' W, 38º 9' 55.52'' N)(5º 48' 44.81'' W, 38º 9' 55.52'' N)(5º 48' 44.81'' W, 38º 9' 35.52'' N)(5º 46' 44.81'' W, 38º 9' 35.52'' N)(5º 46' 44.81'' W, 38º 8' 55.52'' N)(5º 47' 44.81'' W, 38º 8' 55.52'' N)(5º 47' 44.81'' W, 38º 8' 35.52'' N)(5º 49' 24.81'' W, 38º 8' 35.52'' N)(5º 49' 24.81'' W, 38º 8' 55.52'' N)(5º 50' 4.81'' W, 38º 8' 55.52'' N)(5º 50' 4.81'' W, 38º 9' 55.52'' N)(5º 51' 4.81'' W, 38º 11' 
DEMASÍA A TERCERA ADMIRABLE/"MINERALES REUNIDOS S.A. ""MIRESA"", SOCIEDAD ESPAÑOLA MINAS DEL CASTILLO DE LAS GUARDA"/SEVILLA/Otorgado/Concesión Directa de Explotación/00/ 4318/Cobre//0.36/H/C/"30/11/1908"/"19/12/1910"///(6º 22' 13.55'' W, 37º 41' 44.35'' N)(6º 22' 21.01'' W, 37º 41' 46.98'' N)(6º 22' 21.31'' W, 37º 41' 46.43'' N)(6º 22' 13.84'' W, 37º 41' 43.80'' N)(6º 22' 13.55'' W, 37º 41' 44.35'' N)
MARGARITA/SOCIEDAD ANÓNIMA DEL HIERRO Y DEL ACERO NUEVA MONT/SEVILLA/Otorgado/Concesión Directa de Explotación/00/ 3769/Hierro//5.0/H/C/"12/12/1904"/"09/08/1905"//"05/04/2068"/(5º 36' 29.06'' W, 37º 57' 55.40'' N)(5º 36' 29.65'' W, 37º 57' 55.87'' N)(5º 36' 23.96'' W, 37º 58' 0.54'' N)(5º 36' 21.01'' W, 37º 57' 58.27'' N)(5º 36' 23.86'' W, 37º 57' 55.94'' N)(5º 36' 15.02'' W, 37º 57' 49.16'' N)(5º 36' 17.87'' W, 37º 57' 46.82'' N)(5º 36' 29.06'' W, 37º 57' 55.40'' N)
DEMASÍA A MARGARITA/SOCIEDAD WILLIAM BAIRS MINING COMPANY LIMITED, SOCIEDAD ANÓNIMA DEL HIERRO Y DEL ACERO NUEVA MONT/SEVILLA/Otorgado/Concesión Directa de Explotación/00/ 3860/Hierro//22.66/H/C/"17/07/1905"/"09/07/1907"//"05/04/2065"/(5º 36' 17.87'' W, 37º 57' 46.82'' N)(5º 36' 11.39'' W, 37º 57' 41.88'' N)(5º 36' 17.09'' W, 37º 57' 37.20'' N)(5º 35' 59.42'' W, 37º 57' 23.67'' N)(5º 35' 56.56'' W, 37º 57' 24.03'' N)(5º 36' 2.83'' W, 37º 57' 36.02'' N)(5º 36' 10.40'' W, 37º 57' 33.55'' N)(5º 36' 13.53'' W, 37º 57' 39.55'' N)(5º 36' 9.74'' W, 37º 57' 40.81'' N)(5º 36' 31.65'' W, 37º 58' 22.78'' N)(5º 36' 27.87'' W, 37º 58' 24.04'' N)(5º 36' 
INÉS/SOCIEDAD WILLIAM BAIRS MINING COMPANY LIMITED, NUEVA MONTAÑA Y QUIJANO S.A., SOCIEDAD ANÓNIMA DEL HIERRO Y DEL ACERO NUEVA MONT/SEVILLA/Otorgado/Concesión Directa de Explotación/00/ 1638/Hierro//40.0/H/C/"10/08/1893"/"19/01/1894"//"14/03/2068"/(5º 37' 43.44'' W, 37º 57' 8.52'' N)(5º 37' 20.65'' W, 37º 57' 27.19'' N)(5º 37' 23.59'' W, 37º 57' 29.43'' N)(5º 37' 17.90'' W, 37º 57' 34.10'' N)(5º 37' 23.79'' W, 37º 57' 38.60'' N)(5º 37' 18.09'' W, 37º 57' 43.27'' N)(5º 37' 21.03'' W, 37º 57' 45.54'' N)(5º 37' 55.22'' W, 37º 57' 17.53'' N)(5º 37' 43.44'' W, 37º 57' 8.52'' N)
ADELAIDA/SOCIEDAD WILLIAM BAIRS MINING COMPANY LIMITED, SOCIEDAD ANÓNIMA DEL HIERRO Y DEL ACERO NUEVA MONT/SEVILLA/Otorgado/Concesión Directa de Explotación/00/ 1639/Hierro//36.0/H/C/"10/08/1893"/"23/08/1893"//"14/03/2068"/(5º 37' 31.65'' W, 37º 56' 59.50'' N)(5º 37' 5.14'' W, 37º 56' 39.20'' N)(5º 37' 16.54'' W, 37º 56' 29.87'' N)(5º 37' 43.05'' W, 37º 56' 50.16'' N)(5º 37' 31.65'' W, 37º 56' 59.50'' N)
NETA/SOCIEDAD WILLIAM BAIRS MINING COMPANY LIMITED/SEVILLA/Otorgado/Concesión Directa de Explotación/00/ 1806/Hierro//12.0/H/C/"21/04/1897"/"10/11/1897"//"03/05/2068"/(5º 37' 15.34'' W, 37º 57' 50.22'' N)(5º 37' 12.49'' W, 37º 57' 52.55'' N)(5º 37' 15.43'' W, 37º 57' 54.79'' N)(5º 37' 9.73'' W, 37º 57' 59.46'' N)(5º 37' 12.68'' W, 37º 58' 1.73'' N)(5º 37' 9.83'' W, 37º 58' 4.06'' N)(5º 36' 58.05'' W, 37º 57' 55.02'' N)(5º 37' 9.44'' W, 37º 57' 45.70'' N)(5º 37' 15.34'' W, 37º 57' 50.22'' N)
MARÍA/CERRO DEL HIERRO S.A., SOCIEDAD WILLIAM BAIRS MINING COMPANY LIMITED/SEVILLA/Otorgado/Concesión Directa de Explotación/00/ 1808/Hierro//12.0/H/C/"21/04/1897"/"10/11/1897"//"03/05/2068"/(5º 36' 58.05'' W, 37º 57' 55.02'' N)(5º 37' 15.72'' W, 37º 58' 8.57'' N)(5º 37' 10.02'' W, 37º 58' 13.24'' N)(5º 36' 52.34'' W, 37º 57' 59.68'' N)(5º 36' 58.05'' W, 37º 57' 55.02'' N)
PALOMO DEL TOMILLAR/HORMIGONES VARELA, S.A. (HORVASA)/SEVILLA/"Trámite/decl-recurso"/Recurso de la sección A)/00/    2/Arenisca//7.0/H/A/"13/12/1988"////(5º 53' 33.44'' W, 37º 18' 2.60'' N)(5º 53' 33.11'' W, 37º 17' 54.03'' N)(5º 53' 43.84'' W, 37º 17' 53.77'' N)(5º 53' 44.17'' W, 37º 18' 2.34'' N)(5º 53' 33.44'' W, 37º 18' 2.60'' N)
MABEL/SOCIEDAD WILLIAM BAIRS MINING COMPANY LIMITED, SOCIEDAD ANÓNIMA DEL HIERRO Y DEL ACERO NUEVA MONT/SEVILLA/Otorgado/Concesión Directa de Explotación/00/ 3119/Hierro//24.0/H/C/"24/05/1901"/"07/03/1903"//"03/05/2068"/(5º 36' 46.45'' W, 37º 57' 55.18'' N)(5º 37' 10.02'' W, 37º 58' 13.24'' N)(5º 37' 1.47'' W, 37º 58' 20.24'' N)(5º 36' 37.90'' W, 37º 58' 2.18'' N)(5º 36' 46.45'' W, 37º 57' 55.18'' N)
LOS ARRAYANES/ANTONIO BERNAL E HIJOS, S.L./SEVILLA/Autorizado/Recurso de la sección A)/00/    8/Grava, Zahorra//0.01/H/A/"11/04/1989"/"22/01/1992"///(5º 54' 29.62'' W, 37º 20' 55.63'' N)(5º 54' 29.61'' W, 37º 20' 55.31'' N)(5º 54' 30.01'' W, 37º 20' 55.30'' N)(5º 54' 30.03'' W, 37º 20' 55.62'' N)(5º 54' 29.62'' W, 37º 20' 55.63'' N)
CAROLINA/SOCIEDAD WILLIAM BAIRS MINING COMPANY LIMITED/SEVILLA/Otorgado/Concesión Directa de Explotación/00/ 3167/Hierro//15.0/H/C/"04/07/1901"/"10/07/1901"//"03/05/2068"/(5º 36' 30.98'' W, 37º 57' 57.04'' N)(5º 36' 38.86'' W, 37º 58' 4.52'' N)(5º 36' 32.57'' W, 37º 58' 8.69'' N)(5º 36' 43.08'' W, 37º 58' 18.64'' N)(5º 36' 36.79'' W, 37º 58' 22.80'' N)(5º 36' 28.90'' W, 37º 58' 15.35'' N)(5º 36' 32.05'' W, 37º 58' 13.27'' N)(5º 36' 24.17'' W, 37º 58' 5.79'' N)(5º 36' 27.31'' W, 37º 58' 3.71'' N)(5º 36' 24.69'' W, 37º 58' 1.21'' N)(5º 36' 30.98'' W, 37º 57' 57.04'' N)
INTERGAL/HORMIGONES VARELA, S.A. (HORVASA)/SEVILLA/"Trámite/decl-recurso"/Recurso de la sección A)/00/    9/Arena, Grava//50.0/H/A/"16/01/1989"////(5º 54' 17.09'' W, 37º 21' 37.00'' N)(5º 54' 16.21'' W, 37º 21' 14.08'' N)(5º 54' 44.91'' W, 37º 21' 13.38'' N)(5º 54' 45.80'' W, 37º 21' 36.29'' N)(5º 54' 17.09'' W, 37º 21' 37.00'' N)
FE/SOCIEDAD WILLIAM BAIRS MINING COMPANY LIMITED/SEVILLA/Otorgado/Concesión Directa de Explotación/00/ 3768/Hierro//12.0/H/C/"12/12/1904"/"31/05/1905"//"03/04/2068"/(5º 36' 55.78'' W, 37º 58' 24.91'' N)(5º 37' 31.14'' W, 37º 58' 51.98'' N)(5º 37' 28.29'' W, 37º 58' 54.32'' N)(5º 36' 52.92'' W, 37º 58' 27.24'' N)(5º 36' 55.78'' W, 37º 58' 24.91'' N)
LA CAÑADA/EXTRAYMA, S.L./SEVILLA/Autorizado/Recurso de la sección A)/00/   14/Calcarenita//3.0/H/A/"20/02/1990"/"27/07/1990"///(5º 52' 14.82'' W, 37º 19' 53.47'' N)(5º 52' 11.82'' W, 37º 19' 48.47'' N)(5º 52' 19.82'' W, 37º 19' 44.47'' N)(5º 52' 14.82'' W, 37º 19' 53.47'' N)
BARBARIDAD/SOCIEDAD WILLIAM BAIRS MINING COMPANY LIMITED/SEVILLA/Otorgado/Concesión Directa de Explotación/00/ 3770/Hierro//4.0/H/C/"12/12/1904"/"31/08/1905"//"05/05/2068"/(5º 36' 55.78'' W, 37º 58' 24.91'' N)(5º 37' 1.47'' W, 37º 58' 20.24'' N)(5º 36' 55.58'' W, 37º 58' 15.73'' N)(5º 36' 49.88'' W, 37º 58' 20.37'' N)(5º 36' 55.78'' W, 37º 58' 24.91'' N)
DEMASÍA A CAROLINA/SOCIEDAD WILLIAM BAIRS MINING COMPANY LIMITED/SEVILLA/Otorgado/Concesión Directa de Explotación/00/ 3771/Hierro//17264.0/H/C/"12/12/1904"/"01/10/1905"//"05/05/2068"/(5º 36' 30.98'' W, 37º 57' 57.04'' N)(5º 36' 52.00'' W, 37º 58' 16.98'' N)(5º 36' 54.81'' W, 37º 58' 15.13'' N)(5º 36' 31.22'' W, 37º 57' 57.07'' N)(5º 36' 31.10'' W, 37º 57' 57.14'' N)(5º 36' 30.98'' W, 37º 57' 57.04'' N)
DEMASÍA A SAN PAULINO/SOCIEDAD WILLIAM BAIRS MINING COMPANY LIMITED/SEVILLA/Otorgado/Concesión Directa de Explotación/00/ 3859/Hierro//79.18/H/C/"17/07/1905"/"09/04/1907"//"05/04/2068"/(5º 36' 45.81'' W, 37º 58' 21.07'' N)(5º 36' 54.91'' W, 37º 58' 15.03'' N)(5º 36' 55.77'' W, 37º 58' 15.70'' N)(5º 36' 50.07'' W, 37º 58' 20.36'' N)(5º 36' 55.96'' W, 37º 58' 24.87'' N)(5º 36' 53.11'' W, 37º 58' 27.21'' N)(5º 37' 18.15'' W, 37º 58' 46.37'' N)(5º 37' 15.32'' W, 37º 58' 48.25'' N)(5º 36' 45.81'' W, 37º 58' 21.07'' N)
BORBOLÍ/ÁRIDOS BORBOLI, S.A./SEVILLA/Autorizado/Recurso de la sección A)/00/   21/Arena, Grava//50.0/H/A/"18/04/1989"/"23/01/1992"///(6º 1' 27.18'' W, 37º 29' 58.03'' N)(6º 1' 26.26'' W, 37º 29' 35.12'' N)(6º 1' 55.02'' W, 37º 29' 34.38'' N)(6º 1' 55.94'' W, 37º 29' 57.30'' N)(6º 1' 27.18'' W, 37º 29' 58.03'' N)
SIERRA DE LA CRUZ/ÁRIDOS Y REFORESTACIÓN, S.A., JOSE MARÍA ACEIJAS DÍAZ/SEVILLA/Autorizado/Recurso de la sección A)/00/   42/Calizas//1.0/H/A//"09/04/1991"///(4º 51' 17.08'' W, 37º 14' 33.12'' N)(4º 51' 20.72'' W, 37º 14' 32.41'' N)(4º 51' 22.25'' W, 37º 14' 31.74'' N)(4º 51' 21.29'' W, 37º 14' 30.85'' N)(4º 51' 21.36'' W, 37º 14' 30.29'' N)(4º 51' 21.74'' W, 37º 14' 29.48'' N)(4º 51' 21.73'' W, 37º 14' 29.06'' N)(4º 51' 21.44'' W, 37º 14' 28.67'' N)(4º 51' 20.86'' W, 37º 14' 28.29'' N)(4º 51' 20.25'' W, 37º 14' 28.11'' N)(4º 51' 19.84'' W, 37º 14' 28.11'' N)
MATALLANES/HERMANOS MATALLANES S.A., JOSÉ MATALLANES ÁLVAREZ, TRANSPORTES Y ÁRIDOS MATALLANES S.L./SEVILLA/"Trámite/decl-recurso"/Recurso de la sección A)/00/   29/Arena, Arenisca, Calizas//10.0/H/A/////(5º 39' 39.44'' W, 37º 27' 45.71'' N)(5º 39' 33.20'' W, 37º 27' 50.98'' N)(5º 39' 32.83'' W, 37º 27' 40.73'' N)(5º 39' 45.69'' W, 37º 27' 40.44'' N)(5º 39' 46.05'' W, 37º 27' 50.69'' N)(5º 39' 33.20'' W, 37º 27' 50.98'' N)
CERRO DEL MORO/SILEX MINERA, S.L./SEVILLA/Autorizado/Recurso de la sección A)/00/   44/Calizas//4.0/H/A//"14/12/1970"///(4º 52' 35.41'' W, 37º 15' 20.42'' N)(4º 52' 35.24'' W, 37º 15' 13.94'' N)(4º 52' 43.36'' W, 37º 15' 13.81'' N)(4º 52' 43.52'' W, 37º 15' 20.29'' N)(4º 52' 35.41'' W, 37º 15' 20.42'' N)
